file_count,lines_of_code
17349,1
13548,2
9128,3
8526,4
7534,5
5181,6
4437,7
3608,8
2210,9
1716,10
1416,11
1120,12
847,13
860,14
689,15
550,16
414,17
444,18
401,19
350,20
301,21
300,22
212,23
277,24
144,25
205,26
265,27
107,28
80,29
208,30
88,31
85,32
97,33
69,34
71,35
73,36
55,37
51,38
38,39
38,40
34,41
35,42
34,43
35,44
37,45
29,46
29,47
30,48
27,49
24,50
39,51
19,52
19,53
22,54
17,55
24,56
22,57
22,58
17,59
17,60
15,61
16,62
15,63
14,64
16,65
14,66
15,67
14,68
14,69
27,70
12,71
11,72
11,73
12,74
10,75
11,76
11,77
12,78
13,79
11,80
10,81
11,82
10,83
11,84
10,85
10,86
10,87
11,88
8,89
8,90
8,91
8,92
9,93
8,94
8,95
8,96
8,97
9,98
8,99
10,100
8,101
7,102
7,103
7,104
6,105
5,106
4,107
4,108
5,109
4,110
4,111
5,112
4,113
5,114
5,115
5,116
5,117
5,118
5,119
4,120
4,121
4,122
4,123
4,124
5,125
4,126
5,127
5,128
6,129
5,130
3,131
3,132
3,133
3,134
3,135
3,136
4,137
4,138
3,139
3,140
3,141
3,142
3,143
4,144
3,145
3,146
3,147
3,148
4,149
3,150
3,151
3,152
3,153
3,154
3,155
2,156
2,157
2,158
2,159
2,160
2,161
2,162
2,163
2,164
2,165
2,166
2,167
2,168
1,169
1,170
1,171
1,172
1,173
1,174
1,175
1,176
3,177
1,178
1,179
1,180
1,181
1,182
1,183
1,184
2,185
1,186
2,187
1,188
1,189
1,190
1,191
1,192
1,193
1,194
1,195
1,196
1,197
2,198
1,199
1,200
1,201
2,202
1,203
1,204
1,205
2,206
1,207
1,208
1,209
1,210
1,211
1,212
1,213
1,214
1,215
1,221
2,222
2,223
1,225
1,242
1,243
1,322
1,328
1,465
